deployment_id,time,latitude,longitude,receiver_model,receiver_reference_id,array_name,project_reference,recovery_datetime_utc
,UTC,degrees_north,degrees_east,,,,,UTC
CKI-002-VR2W-109409-1,2010-04-17T13:50:00Z,46.49657364,-84.26933109,VR2W,SMRSL_CKI-002,SMRSL,SMRSL,2010-04-28T13:26:00Z
CKI-002-VR2W-109409-2,2010-04-28T13:41:00Z,46.49653975,-84.26932917,VR2W,SMRSL_CKI-002,SMRSL,SMRSL,2010-06-24T17:39:00Z
CKI-002-VR2W-109409-3,2010-06-24T18:01:00Z,46.49662766,-84.26932677,VR2W,SMRSL_CKI-002,SMRSL,SMRSL,2010-07-30T17:27:00Z
CKI-002-VR2W-109500-4,2011-05-11T17:29:00Z,46.49663782,-84.26922849,VR2W,SMRSL_CKI-002,SMRSL,SMRSL,2011-08-03T13:53:00Z
CKI-003-VR2W-109440-3,2012-04-12T18:20:00Z,46.49521,-84.27035,VR2W,SMRSL_CKI-003,SMRSL,SMRSL,
CKI-003-VR2W-109934-2,2011-04-26T14:07:00Z,46.49564057,-84.27087612,VR2W,SMRSL_CKI-003,SMRSL,SMRSL,2011-08-03T14:14:00Z
CKI-003-VR2W-109973-1,2010-05-19T19:19:00Z,46.49561303,-84.27081522,VR2W,SMRSL_CKI-003,SMRSL,SMRSL,2010-07-30T20:11:00Z
CKI-004-VR2W-109457-1,2010-04-17T13:25:00Z,46.49455564,-84.27225235,VR2W,SMRSL_CKI-004,SMRSL,SMRSL,2010-04-28T12:00:00Z
CKI-004-VR2W-109457-2,2010-04-28T12:21:00Z,46.49458182,-84.2722763,VR2W,SMRSL_CKI-004,SMRSL,SMRSL,2010-04-28T13:07:00Z
CKI-004-VR2W-109457-3,2010-04-28T13:16:00Z,46.49463565,-84.27226333,VR2W,SMRSL_CKI-004,SMRSL,SMRSL,2010-07-30T19:27:00Z
CKI-004-VR2W-109914-4,2011-04-26T13:53:00Z,46.49459964,-84.2726088,VR2W,SMRSL_CKI-004,SMRSL,SMRSL,2011-08-03T14:35:00Z
CKI-005-VR2W-109440-1,2010-04-17T13:38:00Z,46.49593667,-84.27300616,VR2W,SMRSL_CKI-005,SMRSL,SMRSL,2010-04-28T13:48:00Z
CKI-005-VR2W-109440-2,2010-04-28T13:56:00Z,46.49594033,-84.27306306,VR2W,SMRSL_CKI-005,SMRSL,SMRSL,2010-07-30T18:28:00Z
CKI-005-VR2W-109897-3,2011-04-26T13:34:00Z,46.49596657,-84.27341195,VR2W,SMRSL_CKI-005,SMRSL,SMRSL,2011-08-03T15:05:00Z
CRN_001-VR2W-110593-2017_03_09T12,2017-03-09T12:57:00Z,41.67798,-83.09951,VR2W,V2LGLFC_CRN_001,V2LGLFC,V2LGLFC,2017-06-01T12:50:00Z
DCK-001-VR2W-109405-1,2010-04-19T16:57:00Z,46.35877978,-84.13340527,VR2W,SMRSL_DCK-001,SMRSL,SMRSL,2010-07-29T13:08:00Z
DCK-001-VR2W-113212-2,2011-04-25T21:46:00Z,46.35816486,-84.13510384,VR2W,SMRSL_DCK-001,SMRSL,SMRSL,2011-08-06T18:32:00Z
